itemid,description,location,itemindex,notes,sublocation
79.0-50B12A42-11,"50 B 12  A 42 x 1-1/4"" x 1/4"" & 3/8"", Compound Sprocket",Pipe,200,,Cage
333.0-RDRChainKit,RDR Basic Hand Chain Kit,Pipe,200.1,,Cage
85.0-50B42-11,"50 B 42 x 1-1/4"" x 1/4"" & 3/8"", Sprocket",Pipe,201,,Cage
332.0-RDRChain,Roller Chain,Pipe,202,,Cage
156.0-SL3317,"Lithium General Purpose Grease, 120lb Keg.",Pipe,203,,Cart
188.0-BHX1212,"1/2""-13 x 1-1/2"" Hex Head Tap Bolt",Pipe,204,Cubby: A1,Hardware Storage
204.0-NHX38,"3/8"" - 16 Hex Nut",Pipe,205,Cubby: A2,Hardware Storage
201.0-NHW38,"3/8"" x 16 Hex Nut, Flanges & Serrated",Pipe,206,Cubby: B2,Hardware Storage
199.0-NHW12,"1/2"" - 13 Hex Nut, Flanges & Serrated",Pipe,207,Cubby: C2,Hardware Storage
202.0-NHX12,"1/2"" - 13 Hex Nut",Pipe,208,Cubby: D2,Hardware Storage
233.0-MKS3810,"3/8"" x 3/8"" x 1' Key Stock",Pipe,209,Cubby: E2,Hardware Storage
231.0-MKB1433,"Keystock 1/4"" x 14"" x 3-3/4"", Bent",Pipe,210,Cubby: E2,Hardware Storage
207.0-WFU38,"3/8"" Flat Washers, USS",Pipe,211,Cubby: B3,Hardware Storage
237.0-PRX3821,3/8 x 2-5/8 Spring Pin,Pipe,212,Cubby: D3,Hardware Storage
239.0-PRX3830,"3/8"" x 3"" Spring Pin (Roll Pin)",Pipe,213,Cubby: E3,Hardware Storage
182.0-BCR1212,"1/2""-13 x 1-1/2"" Carriage Bolts, Grade 2",Pipe,214.1,Cubby: B4,Hardware Storage
272.0-BellDD,Bell mouth Stops with tabs (Pair),Pipe,214,Cubby: A4,Hardware Storage
243.0-Spring Pins-Other,"1/2"" x 3"" Spring Pins",Pipe,216,Cubby: E4,Hardware Storage
192.0-BHX3810,"3/8""-16 x 1"" Hex Head Tap Bolt, Grade 2",Pipe,217,Cubby: B5,Hardware Storage
234.0-MRR1222,"1/2"" x 2-1/4"" Round Head Steel Rivet",Pipe,218,Cubby: D5,Hardware Storage
193.0-BHX3811,"3/8""-16 x 1-1/4"" Hex Head Tap Bolt, Grade 2",Pipe,219,Cubby: B6,Hardware Storage
261.0-OilLite12,"Oil Lite Washer Bearing, (2"" OD x 1-1/2"" ID, x 1/8"")",Pipe,220,Cubby: F1,Hardware Storage
260.0-OilLite11,"Oil Lite Washer Bearing, (1-3/4"" OD x 1-1/4"" ID, x 1/8"")",Pipe,221,Cubby: F1,Hardware Storage
263.0-OilLiteB12,"Oil Lite Bushing, 1"" x 1-1/4"" x 1-1/2""",Pipe,222,Cubby: G1,Hardware Storage
264.0-OilLiteB20,"Oil Lite Bushing, 1"" x 1-1/4"" x 2""",Pipe,223,Cubby: H1,Hardware Storage
262.0-OilLite30,"Oil Lite Bushing, 1"" x 1-1/4"" x 3""",Pipe,224,Cubby: I1,Hardware Storage
324.0-Washer0410,"4-1/8"" OD x 1"" Bore x 3/16"" Thick, Washer",Pipe,225,Cubby: F2,Hardware Storage
325.0-Washer0411,"4-1/8"" OD x 1-1/4"" Bore x 3/16"" Thick, Washer",Pipe,225,Cubby: F3,Hardware Storage
326.0-Washer0611,"6-1/8"" OD x 1-1/4"" Bore x 3/16"" Thick, Washer",Pipe,227,Cubby: F4,Hardware Storage
327.0-Washer0612,"6-1/8"" OD x 1-1/2"""" Bore x 3/16"" Thick, Washer",Pipe,228,Cubby: F5,Hardware Storage
269.0-UCF 205-16,"Self Aligning Cast Flange Bearing, 1"" Bore",Pipe,229,Cubby: G2,Hardware Storage
268.0-UCF 206-20,"Self Aligning Cast Flange Bearing, 1-1/4"" Bore",Pipe,230,Cubby: G3,Hardware Storage
270.0-UCF 208-24,"Self Aligning Cast Flange Bearing, 1-1/2"" Bore",Pipe,231,Cubby: G4,Hardware Storage
227.0-Collar10,"1"" Shaft Collar",Pipe,232,Cubby: H2,Hardware Storage
228.0-Collar11,"1-1/4"" Shaft Collar",Pipe,233,Cubby: H3,Hardware Storage
229.0-Collar12,"1-1/2"" Shaft Collar",Pipe,234,Cubby: H4,Hardware Storage
265.0-TubeBearing4,"Tube Bearing, 4-7/16"" x 1-1/4"" Bore",Pipe,235,Cubby: I2,Hardware Storage
266.0-TubeBearing6,"Tube Bearing, 6-1/2"" x 1-1/2"" Bore",Pipe,236,Cubby: I3,Hardware Storage
267.0-TubeBearing625,"Tube Bearing, 6-1/2"" x 1-1/4"" Bore",Pipe,237,Cubby: I4,Hardware Storage
284.0-CW12,"6-3/4"" Charging Wheel, 1-1/2"" Bore",Pipe,238,Cubby: F6,Hardware Storage
283.0-CW11,"6-3/4"" Charging Wheel, 1-1/4"" Bore",Pipe,239,Cubby: C->E6,Hardware Storage
313.0-SHAFT11-12,"1-1/4"" x 12' Round Shaft",Pipe,240,,Pipe Rack
314.0-SHAFT11-20,"1-1/4"" x 20"" Round Shaft",Pipe,241,,Pipe Rack
315.0-SHAFT12-12,"1-1/2"" x 12' round Shaft",Pipe,242,,Pipe Rack
316.0-SHAFT12-20,"1-1/2"" x 20', Round Shaft",Pipe,243,,Pipe Rack
311.0-Pipe4,"4"" Pipe, .188 wall, prime welded, SRL +/- 20'",Pipe,244,Check Wall,Pipe Rack
312.0-Pipe6,"6"" Pipe, .188 wall, prime welded, SRL +/- 20'",Pipe,245,Check Wall,Pipe Rack
276.0-4S1,"4"" Spring Castings, 1-1/4""",Pipe,250,,Bench
286.0-SS1,"4"" Shaft Support Casting, SS1, 1-1/4""",Pipe,251,,Bench
277.0-4S2,"4"" Spring Casting, 4S2, 1-1/4"", Small",Pipe,252,,Bench
287.0-SS1,"6"" Shaft Support Casting, 1-1/4""",Pipe,253,,Bench
288.0-SS1,"6"" Shaft Support Casting, 1-1/2""",Pipe,254,,Bench
275.0-4P1,"4"" Pipe Casting, 1-1/4""",Pipe,255,,Bench
279.0-6P1,"6"" Pipe Casting, 6P1, 1-1/2""",Pipe,256,,Bench
280.0-6P1,"6"" Pipe Casting, 6P1, 1-1/4""",Pipe,256,,Bench
281.0-6S1,"6"" Spring Casting, 6S1, 1-1/2""",Pipe,257,,Bench
282.0-6S1,"6"" Spring Casting, 6S1, 1-1/4""",Pipe,257,,Bench
322.0-SteelPlate18,"18"" x 18"" x 3/16"", Steel Plate",Pipe,260,,Middle Shelves
323.0-SteelPlate6,"6"" x 7"" x 3/16"" Steel Plate",Pipe,261,,Middle Shelves
307.0-FlatStock1-1/8,"1/8"" x 1"" x 20', Flat Stock",Pipe,262,Include Hoodrings,Steel Rack
305.0-AI33316,"3"" x 3"" x 3/16"" Angles, 40' Saw Cut,  20 @ 23' and 20 @ 17'",Pipe,263,Check Wall,Steel Rack
304.0-AI32316,"3"" x 2"" x 3/16"" angles - 40' Saw Cut,  20 @ 23' and 20 @ 17'",Pipe,264,Check Wall,Steel Rack
258.0-BarrelRing4,"4"" Barrel Ring, Heavy",Pipe,265,,Beside Filing Cabinet
259.0-BarrelRing6,"6"" Barrel Ring, Heavy",Pipe,266,,Beside Filing Cabinet
200.0-NHW14,"1/4"" - 20 Hex Nut, Flanges & Serrated",Office,300,,Shelves
342.0-Spring250,".250"" x 2.75"" OD x 20'",Office,302,,Computer
343.0-Spring312,".312"" x 2.75"" OD x 20'",Office,303,,Computer
344.0-Spring3123,".312"" x 3.75"" OD x 20'",Office,304,,Computer
345.0-Spring3753,".375"" x 3.75"" OD x 20""",Office,305,,Computer
346.0-Spring4063,".406"" x 3.75"" OD x 20'",Office,306,,Computer
347.0-Spring4373,".437"" x 3.75"" OD x 20'",Office,307,,Computer
348.0-Spring4683,".468"" x 3.75"" OD x 20'",Office,308,,Computer
349.0-Spring4685,".468"" x 5.75"" OD x 20'",Office,309,,Computer
350.0-Spring55,".5"" x 5.75"" OD x 20'",Office,310,,Computer
72.0-T-51-T-16,"Trolly Operator, 1/2 hp, 115v, 1 phase, 16' Rails  S/N:",Belmont,,,
